tarefa,tecnica,input_resumo,resposta_resumo,acuracia,tokens_prompt,tokens_resposta,tempo_ms
classificacao_sentimento,Zero-Shot,"Notebook excelente! Tela linda, rápido e leve. Mel",POSITIVO,1.0,111,4,12884
classificacao_sentimento,Zero-Shot,"Produto veio com defeito, a tela tem pixels mortos",NEGATIVO,1.0,114,4,6413
classificacao_sentimento,Zero-Shot,"O design é bonito e a tela é boa, mas esquenta mui",NEGATIVO,0.0,122,4,7685
classificacao_sentimento,Zero-Shot,"Faz o que promete, nada excepcional. Produto media",POSITIVO,0.0,109,4,18870
classificacao_sentimento,Zero-Shot,Comprei para meu filho e ele adorou! Entrega rápid,POSITIVO,1.0,116,4,6421
classificacao_sentimento,Few-Shot,"Notebook excelente! Tela linda, rápido e leve. Mel",POSITIVO,1.0,195,3,5958
classificacao_sentimento,Few-Shot,"Produto veio com defeito, a tela tem pixels mortos",NEGATIVO,1.0,198,4,6126
classificacao_sentimento,Few-Shot,"O design é bonito e a tela é boa, mas esquenta mui",NEGATIVO,0.0,206,4,6867
classificacao_sentimento,Few-Shot,"Faz o que promete, nada excepcional. Produto media",POSITIVO,0.0,193,3,6376
classificacao_sentimento,Few-Shot,Comprei para meu filho e ele adorou! Entrega rápid,POSITIVO,1.0,200,3,6024
classificacao_sentimento,Chain-of-Thought,"Notebook excelente! Tela linda, rápido e leve. Mel",POSITIVO,1.0,200,4,12751
classificacao_sentimento,Chain-of-Thought,"Produto veio com defeito, a tela tem pixels mortos",MISTO,0.0,203,4,17569
classificacao_sentimento,Chain-of-Thought,"O design é bonito e a tela é boa, mas esquenta mui",MISTO,1.0,211,4,22307
classificacao_sentimento,Chain-of-Thought,"Faz o que promete, nada excepcional. Produto media",POSITIVO,0.0,198,4,14106
classificacao_sentimento,Chain-of-Thought,Comprei para meu filho e ele adorou! Entrega rápid,POSITIVO,1.0,205,4,10650
classificacao_sentimento,Role Prompting,"Notebook excelente! Tela linda, rápido e leve. Mel",POSITIVO,1.0,213,4,6093
classificacao_sentimento,Role Prompting,"Produto veio com defeito, a tela tem pixels mortos",MISTO,0.0,216,4,12472
classificacao_sentimento,Role Prompting,"O design é bonito e a tela é boa, mas esquenta mui",POSITIVO,0.0,224,4,7597
classificacao_sentimento,Role Prompting,"Faz o que promete, nada excepcional. Produto media",POSITIVO,0.0,211,4,18079
classificacao_sentimento,Role Prompting,Comprei para meu filho e ele adorou! Entrega rápid,POSITIVO,1.0,218,4,23532
extracao_reclamacao,Zero-Shot,O Notebook Dell Inspiron de R$3.500 veio com pixel,"```json
{
  ""produto"": ""Dell Inspiron"",
  ""preco"": ""R$3.500"",
  ""defeito"": ""pixe",0.5,149,53,33978
extracao_reclamacao,Zero-Shot,Fone JBL Tune 510 de R$199 parou de funcionar em 3,"```json
{
  ""produto"": ""Fone JBL Tune 510"",
  ""preco"": ""R$199"",
  ""defeito"": ""Bo",0.5,151,57,14654
extracao_reclamacao,Zero-Shot,A Cafeteira Nespresso Vertuo de R$899 vaza água pe,"```json
{
  ""produto"": ""Nespresso Vertuo"",
  ""preco"": ""R$899"",
  ""defeito"": ""A b",0.25,145,77,32446
extracao_reclamacao,Zero-Shot,Smartphone Samsung A54 por R$1.800 — bateria não d,"```json
{
  ""produto"": ""Samsung A54"",
  ""preco"": ""R$1.800"",
  ""defeito"": ""bateri",0.25,148,57,24567
extracao_reclamacao,Zero-Shot,Tênis Nike Air Max custou R$650 e a sola descolou ,"```json
{
  ""produto"": ""tênis Nike Air Max"",
  ""preco"": ""R$650"",
  ""defeito"": ""s",0.75,153,58,9121
extracao_reclamacao,Few-Shot,O Notebook Dell Inspiron de R$3.500 veio com pixel,"{""produto"": """", ""preco"": """", ""defeito"": """", ""urgencia"": ""baixa""}",0.0,306,24,10033
